easting,northing,longitude,latitude,domain_no,domainname,domaintype
1457705.91375,5260710.3371,171.260091277,-42.7929410371,13,northwestern South Island,Contractional
1457671.38366,5260683.961,171.259662594,-42.7931720402,13,northwestern South Island,Contractional
1457637.3172,5260656.98876,171.259239425,-42.7934084939,13,northwestern South Island,Contractional
1457603.72466,5260629.42852,171.258821896,-42.7936503268,13,northwestern South Island,Contractional
1457570.61619,5260601.28861,171.258410133,-42.7938974659,13,northwestern South Island,Contractional
1447079.75957,5251526.58303,171.127730328,-42.8735523895,13,northwestern South Island,Contractional
1415914.90286,5228125.56476,170.738724179,-43.0772447045,13,northwestern South Island,Contractional
1394420.60178,5213100.11764,170.46935703,-43.2068952339,13,northwestern South Island,Contractional
1394366.35877,5213061.11015,170.468675428,-43.2072313765,13,northwestern South Island,Contractional
1394331.84113,5213035.11657,170.468241249,-43.2074558143,13,northwestern South Island,Contractional
1370417.34598,5194700.59515,170.16653995,-43.3654598243,13,northwestern South Island,Contractional
1359838.04505,5186589.27298,170.032579701,-43.4350921794,13,northwestern South Island,Contractional
1351098.44349,5180376.06354,169.921908677,-43.4881056766,13,northwestern South Island,Contractional
1329605.80983,5165095.90123,169.648933555,-43.6179973396,13,northwestern South Island,Contractional
1324060.51455,5161315.43927,169.578399094,-43.6499422432,13,northwestern South Island,Contractional
1319175.1983,5161381.52392,169.517965667,-43.6475202259,13,northwestern South Island,Contractional
1250055.03479,5161233.34177,168.663007915,-43.6195698303,13,northwestern South Island,Contractional
1407461.44806,5276278.60139,170.651454608,-42.6418806172,13,northwestern South Island,Contractional
1458968.03242,5380227.55428,171.304591355,-41.717250893,13,northwestern South Island,Contractional
1516414.78099,5509796.69753,172.012707097,-40.5583807619,13,northwestern South Island,Contractional
1558674.12969,5573827.11109,172.515970968,-39.9847148537,13,northwestern South Island,Contractional
1575269.52064,5594985.48581,172.711142515,-39.7947295794,13,northwestern South Island,Contractional
1612228.92439,5570361.43434,173.14329867,-40.0168619457,13,northwestern South Island,Contractional
1614365.68559,5568937.82594,173.168368692,-40.0296546043,13,northwestern South Island,Contractional
1686748.97486,5537674.87777,174.020852114,-40.3069374099,13,northwestern South Island,Contractional
1699810.83477,5532033.35119,174.175415402,-40.3562945237,13,northwestern South Island,Contractional
1740345.71899,5517422.68579,174.65583384,-40.4820341841,13,northwestern South Island,Contractional
1724497.40459,5464591.94025,174.479412766,-40.9603386382,13,northwestern South Island,Contractional
1724054.13738,5463316.93501,174.474402642,-40.9718879083,13,northwestern South Island,Contractional
1029468.2669,4887675.19343,165.640870823,-45.9269302111,24,western Fiordland Margin - Caswell High,Contractional
1024081.98158,4882960.95095,165.566329389,-45.9645215774,24,western Fiordland Margin - Caswell High,Contractional
1024123.10143,4883014.72718,165.566920175,-45.9640760658,24,western Fiordland Margin - Caswell High,Contractional
1021257.94671,4880489.02829,165.527207497,-45.9842108474,24,western Fiordland Margin - Caswell High,Contractional
1038728.13065,4910531.44882,165.785896662,-45.7304559308,24,western Fiordland Margin - Caswell High,Contractional
1050981.77996,4945480.1888,165.981385793,-45.4280681718,24,western Fiordland Margin - Caswell High,Contractional
1058125.54425,4967308.35747,166.095895113,-45.2385778708,24,western Fiordland Margin - Caswell High,Contractional
1079953.7129,4992708.40828,166.398485095,-45.0278981425,24,western Fiordland Margin - Caswell High,Contractional
1100988.12997,5028427.22975,166.698955062,-44.7234038535,24,western Fiordland Margin - Caswell High,Contractional
1098732.1299,5041756.11879,166.683657196,-44.6025701773,24,western Fiordland Margin - Caswell High,Contractional
1125594.42918,5062161.6722,167.038986195,-44.4380531504,24,western Fiordland Margin - Caswell High,Contractional
1133015.77696,5079391.55818,167.147185906,-44.2885664428,24,western Fiordland Margin - Caswell High,Contractional
1136706.9514,5087958.59882,167.200782952,-44.2141894686,24,western Fiordland Margin - Caswell High,Contractional
1184763.56046,5115484.65937,167.821388888,-43.9963057066,24,western Fiordland Margin - Caswell High,Contractional
1250055.03477,5161233.3422,168.663007915,-43.6195698264,24,western Fiordland Margin - Caswell High,Contractional
1319175.19828,5161381.52435,169.517965667,-43.647520222,24,western Fiordland Margin - Caswell High,Contractional
1324060.51453,5161315.43973,169.578399094,-43.649942239,24,western Fiordland Margin - Caswell High,Contractional
1324060.61404,5161315.43837,169.578400325,-43.6499422882,24,western Fiordland Margin - Caswell High,Contractional
1324055.0516,5161311.71542,169.578329571,-43.6499736866,24,western Fiordland Margin - Caswell High,Contractional
1305417.64377,5148605.50587,169.340730312,-43.7570013263,24,western Fiordland Margin - Caswell High,Contractional
1305387.05571,5148584.31717,169.340339496,-43.75717956,24,western Fiordland Margin - Caswell High,Contractional
1284138.06201,5133629.65745,169.068158009,-43.8827627809,24,western Fiordland Margin - Caswell High,Contractional
1254916.49097,5114290.12411,168.692828053,-44.0433163871,24,western Fiordland Margin - Caswell High,Contractional
1254847.67656,5114242.91076,168.691940771,-44.0437079142,24,western Fiordland Margin - Caswell High,Contractional
1240965.29806,5104373.47985,168.512475926,-44.1256360686,24,western Fiordland Margin - Caswell High,Contractional
1240929.20123,5104347.3299,168.512008321,-44.1258530768,24,western Fiordland Margin - Caswell High,Contractional
1240893.57635,5104320.54055,168.511546158,-44.1260760534,24,western Fiordland Margin - Caswell High,Contractional
1240858.43475,5104293.12031,168.511089584,-44.1263049278,24,western Fiordland Margin - Caswell High,Contractional
1240823.78761,5104265.0779,168.510638744,-44.1265396272,24,western Fiordland Margin - Caswell High,Contractional
1240789.64593,5104236.42223,168.510193782,-44.126780077,24,western Fiordland Margin - Caswell High,Contractional
1240756.02057,5104207.16241,168.509754838,-44.127026201,24,western Fiordland Margin - Caswell High,Contractional
1240722.92223,5104177.30775,168.509322052,-44.1272779208,24,western Fiordland Margin - Caswell High,Contractional
1240690.36141,5104146.86773,168.508895562,-44.1275351567,24,western Fiordland Margin - Caswell High,Contractional
1240658.34848,5104115.85203,168.508475504,-44.1277978268,24,western Fiordland Margin - Caswell High,Contractional
1240626.8936,5104084.27051,168.50806201,-44.1280658477,24,western Fiordland Margin - Caswell High,Contractional
1240596.00678,5104052.13321,168.507655213,-44.1283391344,24,western Fiordland Margin - Caswell High,Contractional
1240565.69784,5104019.45035,168.50725524,-44.1286176,24,western Fiordland Margin - Caswell High,Contractional
