Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
083A,-41.83109247,171.6606222,20,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,Kaiser et al. 2017,15,0.3,Q3,1,NSHM (2021) ,375,0.5,Q3,NZVM (2021),1,0,0,,,,,,,,,,,,,,
085D,-38.11352569,176.8169014,29,C,350,0.2,Q3,Kaiser et al. 2017,0.33,0.3,Q3,I,Kaiser et al. 2017,15,0.2,Q3,1,Cousins et al. (1988),625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
085M,-38.11300868,176.8168764,20,C,350,0.2,Q3,Kaiser et al. 2017,0.33,0.3,Q3,I,Kaiser et al. 2017,15,0.2,Q3,1,Cousins et al. (1988),625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
085N,-38.11311168,176.8147154,20,C,350,0.2,Q3,Kaiser et al. 2017,0.33,0.3,Q3,I,Kaiser et al. 2017,15,0.2,Q3,1,Cousins et al. (1988),625,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
087A,-39.71625399,175.145475,248,B,750,0.2,Q3,Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),0,0.1,Q2,1,Kaiser et al. (2017),725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
087B,-39.71655398,175.139675,41,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,Kaiser et al. 2017,0,0.5,Q3,1,Kaiser et al. (2017),675,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
087C,-39.71705399,175.1381749,40,C,407,0.288,Q3,Foster et al. (2019) & Perrin et al. (2015),0.33,0.3,Q3,I,Kaiser et al. 2017,38,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
087D,-39.71745398,175.1321749,254,B,750,0.2,Q3,Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),0,0.1,Q2,1,Kaiser et al. (2017),825,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
089A,-44.69465812,169.1430744,304,D,326,0.2,Q3,McVerry (2011),3.4,0.1,Q1,I,Manea et al. 2021 unpublished,253,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
090A,-41.85529383,171.9539258,64,C,324,0.3085,Q3,Foster et al. (2019) & Perrin et al. (2015),0.33,0.3,Q3,Mw,Unpub HVSR (Van Houtte),58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
